Currency,Event
USD,10-y Bond Auction
USD,ADP Non-Farm Employment Change
USD,BOJ Press Conference
USD,CB Consumer Confidence
USD,Chicago PMI
USD,Core Durable Goods Orders m/m
USD,Crude Oil Inventories
USD,Durable Goods Orders m/m
USD,Federal Funds Rate
USD,FOMC Member Waller Speaks
USD,FOMC Press Conference
USD,FOMC Statement
USD,G20 Meetings
USD,JOLTS Job Openings
USD,Pending Home Sales m/m
USD,Unemployment Claims
XAU,30-y Bond Auction
XAU,ADP Non-Farm Employment Change
XAU,Average Hourly Earnings m/m
XAU,CB Consumer Confidence
XAU,Chicago PMI
XAU,Core CPI m/m
XAU,Core Durable Goods Orders m/m
XAU,Core PPI m/m
XAU,Core Retail Sales m/m
XAU,CPI m/m
XAU,CPI y/y
XAU,Crude Oil Inventories
XAU,Durable Goods Orders m/m
XAU,Empire State Manufacturing Index
XAU,Fed Chair Powell Speaks
XAU,Fed Chair Powell Testifies
XAU,Federal Funds Rate
XAU,Final GDP q/q
XAU,Flash Manufacturing PMI
XAU,Flash Services PMI
XAU,FOMC Meeting Minutes
XAU,FOMC Member Bostic Speaks
XAU,FOMC Member Bullard Speaks
XAU,FOMC Member Clarida Speaks
XAU,FOMC Member Evans Speaks
XAU,FOMC Member Waller Speaks
XAU,FOMC Member Williams Speaks
XAU,FOMC Press Conference
XAU,FOMC Statement
XAU,ISM Manufacturing PMI
XAU,ISM Manufacturing Prices
XAU,ISM Services PMI
XAU,Non-Farm Employment Change
XAU,OPEC-JMMC Meetings
XAU,Pending Home Sales m/m
XAU,Philly Fed Manufacturing Index
XAU,PPI m/m
XAU,Prelim UoM Consumer Sentiment
XAU,Prelim UoM Inflation Expectations
XAU,President Biden Speaks
XAU,Retail Sales m/m
XAU,Treasury Currency Report
XAU,Treasury Sec Yellen Speaks
XAU,Unemployment Claims
XAU,Unemployment Rate
CAD,BOC Gov Macklem Speaks
CAD,Core Retail Sales m/m
CAD,Ivey PMI
CAD,Retail Sales m/m
CHF,CPI y/y
CHF,Employment Change
CHF,GDP q/q
CHF,RBA Gov Lowe Speaks
CHF,SNB Chairman Jordan Speaks
CHF,SNB Monetary Policy Assessment
CHF,SNB Policy Rate
CHF,SNB Press Conference
CHF,Unemployment Rate
JPY,Employment Change
JPY,Monetary Policy Meeting Minutes
JPY,RBA Monetary Policy Statement
JPY,Unemployment Rate
JPY,WEF Annual Meetings
NZD,CPI q/q
NZD,OPEC-JMMC Meetings
NZD,Trimmed Mean CPI q/q
USD,ADP Non-Farm Employment Change
USD,Average Hourly Earnings m/m
USD,Core PPI m/m
USD,Core Retail Sales m/m
USD,Crude Oil Inventories
USD,Fed Chair Powell Speaks
USD,Federal Funds Rate
USD,FOMC Meeting Minutes
USD,FOMC Press Conference
USD,FOMC Statement
USD,Industrial Production m/m
USD,ISM Manufacturing PMI
USD,ISM Services PMI
USD,JOLTS Job Openings
USD,Monetary Policy Meeting Minutes
USD,Non-Farm Employment Change
USD,OPEC-JMMC Meetings
USD,PPI m/m
USD,RBA Gov Lowe Speaks
USD,RBA Monetary Policy Statement
USD,Retail Sales m/m
USD,Unemployment Rate
USD,WEF Annual Meetings
CHF,CPI m/m
CHF,SNB Monetary Policy Assessment
CHF,SNB Policy Rate
CHF,SNB Press Conference
CHF,WEF Annual Meetings
JPY,BOC Gov Macklem Speaks
JPY,BOJ Outlook Report
JPY,BOJ Press Conference
JPY,Common CPI y/y
JPY,Core Retail Sales m/m
JPY,CPI m/m
JPY,Employment Change
JPY,GDP m/m
JPY,Ivey PMI
JPY,Median CPI y/y
JPY,Monetary Policy Statement
JPY,Retail Sales m/m
JPY,Trimmed CPI y/y
JPY,Unemployment Rate
JPY,WEF Annual Meetings
JPY,BOJ Gov Kuroda Speaks
JPY,BOJ Press Conference
JPY,Monetary Policy Statement
JPY,SNB Monetary Policy Assessment
JPY,SNB Policy Rate
JPY,SNB Press Conference
AUD,Cash Rate
AUD,CPI Flash Estimate y/y
AUD,ECB President Lagarde Speaks
AUD,German Final Manufacturing PMI
AUD,RBA Gov Lowe Speaks
AUD,RBA Rate Statement
CAD,BOC Gov Macklem Speaks
